station_id,station_name,climate_id,n_rows,date_time,longitude_x,latitude_y,max_temp_degc,min_temp_degc,mean_temp_degc,heat_deg_days_degc,cool_deg_days_degc,total_rain_mm,total_snow_cm,total_precip_mm,snow_on_grnd_cm,dir_of_max_gust_deg,spd_of_max_gust_km_h
10197,PEAWANUCK (AUT),6016295,2192,0.0,0.0,0.0,0.12773722627737227,0.12773722627737227,0.12773722627737227,0.12773722627737227,0.12773722627737227,1.0,1.0,0.1281934306569343,0.5556569343065694,0.47855839416058393,0.47855839416058393
10220,ATIKOKAN (AUT),6020LPQ,2192,0.0,0.0,0.0,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,0.010948905109489052,1.0,1.0,0.011405109489051095,0.5711678832116789,0.635036496350365,0.635036496350365
10244,LANSDOWNE HOUSE (AUT),6014353,2192,0.0,0.0,0.0,0.017335766423357664,0.017335766423357664,0.017335766423357664,0.017335766423357664,0.017335766423357664,1.0,1.0,0.14552919708029197,0.5360401459854015,0.6058394160583942,0.6058394160583942
10899,ROYAL ISLAND (AUT),6037201,2192,0.0,0.0,0.0,0.26824817518248173,0.26824817518248173,0.26824817518248173,0.26824817518248173,0.26824817518248173,1.0,1.0,0.42700729927007297,0.8083941605839416,0.7290145985401459,0.7171532846715328
10903,GRENADIER ISLAND,6103024,2192,0.0,0.0,0.0,0.04927007299270073,0.04927007299270073,0.04927007299270073,0.04927007299270073,0.04927007299270073,1.0,1.0,0.6537408759124088,1.0,0.7363138686131386,0.7363138686131386
10911,LAGOON CITY,6114295,2192,0.0,0.0,0.0,0.004105839416058394,0.004105839416058394,0.004105839416058394,0.004105839416058394,0.004105839416058394,1.0,1.0,1.0,1.0,0.32572992700729925,0.32572992700729925
10955,COLLINGWOOD,6111792,2192,0.0,0.0,0.0,0.4283759124087591,0.4283759124087591,0.4283759124087591,0.4283759124087591,0.4283759124087591,1.0,1.0,0.49452554744525545,1.0,0.6824817518248175,0.6824817518248175
10999,LONDON CS,6144478,2192,0.0,0.0,0.0,0.047901459854014596,0.047901459854014596,0.047901459854014596,0.047901459854014596,0.047901459854014596,1.0,1.0,0.04927007299270073,0.6966240875912408,1.0,1.0
26773,OMPAH-SEITZ,6105762,2192,0.0,0.0,0.0,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.07025547445255474,0.0697992700729927,1.0,1.0
26799,BANCROFT AUTO,616I001,2192,0.0,0.0,0.0,0.007755474452554745,0.007755474452554745,0.007755474452554745,0.007755474452554745,0.007755474452554745,1.0,1.0,0.008211678832116789,0.5428832116788321,0.7084854014598541,0.7084854014598541
26953,TORONTO NORTH YORK,615S001,2192,0.0,0.0,0.0,0.11222627737226278,0.11268248175182481,0.11268248175182481,0.11268248175182481,0.11268248175182481,0.11268248175182481,0.11222627737226278,0.11222627737226278,0.11131386861313869,1.0,1.0
27528,DELHI CS,6131983,2192,0.0,0.0,0.0,0.01551094890510949,0.01551094890510949,0.01551094890510949,0.01551094890510949,0.01551094890510949,1.0,1.0,0.015967153284671534,0.8631386861313869,0.5396897810218978,0.5396897810218978
27529,HAMILTON RBG CS,6153301,2192,0.0,0.0,0.0,0.0739051094890511,0.0739051094890511,0.0739051094890511,0.0739051094890511,0.0739051094890511,1.0,1.0,0.07937956204379562,1.0,0.6012773722627737,0.6012773722627737
27533,POINT PELEE CS,613P001,2192,0.0,0.0,0.0,0.06843065693430657,0.06843065693430657,0.06843065693430657,0.06843065693430657,0.06843065693430657,1.0,1.0,0.354470802919708,1.0,1.0,1.0
