Barrie, (47045) Hourly, Fine particulate matter (PM2.5) Concentrations
Station,Barrie (47045)
Address,83 Perry St.
Latitude,44.382338
Longitude,-79.702446
Elevation, 226 metres
Air intake height,5 metres
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5)
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>)
Remarks, 9999 for invalid or missing data.
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
47045,Fine Particulate Matter,2022-03-09,10,9,9,8,9,10,12,13,11,10,10,11,11,12,12,11,12,14,15,14,11,11,7,3,
47045,Fine Particulate Matter,2022-03-10,3,3,3,3,3,4,4,4,6,5,5,6,5,5,5,5,5,5,5,6,5,4,4,5,
47045,Fine Particulate Matter,2022-03-11,5,5,5,4,3,3,3,3,4,4,4,5,5,5,7,7,8,9,11,11,3,3,2,3,
47045,Fine Particulate Matter,2022-03-12,5,6,4,4,3,4,3,3,3,3,2,2,2,2,3,3,3,3,4,5,4,3,3,3,
47045,Fine Particulate Matter,2022-03-13,3,4,-999,-999,3,3,3,3,5,7,9,9,8,8,7,7,8,9,11,13,14,15,15,12,
47045,Fine Particulate Matter,2022-03-14,10,10,11,11,11,12,14,14,12,11,12,14,15,12,15,18,10,8,7,7,6,5,5,8,
47045,Fine Particulate Matter,2022-03-15,9,9,6,6,6,7,5,5,6,5,5,5,5,6,6,7,7,7,7,7,12,17,18,16,
47045,Fine Particulate Matter,2022-03-16,15,13,12,11,11,9,8,7,9,14,15,16,16,18,19,21,20,21,26,22,24,25,28,29,
47045,Fine Particulate Matter,2022-03-17,26,25,24,24,21,20,18,13,9,9,8,6,7,7,8,8,9,11,17,15,18,18,18,19,
47045,Fine Particulate Matter,2022-03-18,22,22,22,15,13,10,8,6,6,8,9,10,9,9,10,10,11,11,13,13,13,7,6,6,
47045,Fine Particulate Matter,2022-03-19,6,7,7,6,5,5,5,5,4,5,6,7,6,9999,9,3,4,9999,12,6,3,3,2,1,
47045,Fine Particulate Matter,2022-03-20,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,3,4,5,9,4,5,5,
47045,Fine Particulate Matter,2022-03-21,3,3,6,2,2,2,2,2,2,2,2,2,2,2,3,3,3,7,6,5,4,4,3,2,
47045,Fine Particulate Matter,2022-03-22,3,2,4,4,4,4,7,8,2,3,2,2,2,3,3,4,4,4,4,4,4,5,5,3,
47045,Fine Particulate Matter,2022-03-23,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,6,10,13,6,
47045,Fine Particulate Matter,2022-03-24,10,6,7,7,9,11,13,13,9,7,6,6,5,4,4,4,4,5,5,5,6,5,11,7,
47045,Fine Particulate Matter,2022-03-25,5,7,8,11,8,5,3,1,1,1,1,1,2,2,2,2,3,4,4,5,5,5,6,7,
47045,Fine Particulate Matter,2022-03-26,12,6,6,9,9,9,9,10,9,5,3,3,3,3,3,3,3,2,2,4,4,4,3,4,
47045,Fine Particulate Matter,2022-03-27,6,5,5,4,5,5,5,5,6,5,4,4,3,3,3,3,3,3,3,3,3,3,2,2,
47045,Fine Particulate Matter,2022-03-28,2,2,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,5,4,5,7,4,3,3,
47045,Fine Particulate Matter,2022-03-29,4,3,2,2,2,2,3,2,2,3,4,3,4,3,3,3,4,5,5,7,13,5,8,6,
47045,Fine Particulate Matter,2022-03-30,6,7,7,6,5,4,4,11,9,12,4,3,3,3,2,3,4,4,4,4,4,5,5,5,
47045,Fine Particulate Matter,2022-03-31,5,7,7,9,11,12,13,13,11,10,8,8,8,5,6,5,4,3,2,2,2,2,2,1,
47045,Fine Particulate Matter,2022-04-01,1,2,1,1,1,2,3,2,1,1,1,1,1,1,1,1,2,2,3,2,2,2,2,2,
47045,Fine Particulate Matter,2022-04-02,3,4,3,3,4,4,3,3,3,3,3,5,9999,9999,10,6,10,10,9,9,9999,10,9999,7,
47045,Fine Particulate Matter,2022-04-03,4,6,4,7,4,3,3,4,4,5,4,3,4,4,4,4,4,4,5,8,9,7,5,6,
47045,Fine Particulate Matter,2022-04-04,7,8,9,6,6,5,4,4,7,11,6,6,4,4,3,3,3,3,3,3,3,9,9999,9999,
47045,Fine Particulate Matter,2022-04-05,9999,9999,9999,10,11,9,14,12,10,8,8,6,6,6,7,10,8,9,7,10,12,7,7,9,
47045,Fine Particulate Matter,2022-04-06,16,8,9,5,4,4,4,4,5,6,9,11,10,10,8,7,5,6,6,8,9999,9999,8,9,
47045,Fine Particulate Matter,2022-04-07,4,6,4,3,3,3,3,5,8,10,5,5,4,8,6,11,7,6,6,9999,8,6,5,6,
47045,Fine Particulate Matter,2022-04-08,6,6,9999,7,5,6,9999,7,6,6,5,4,3,4,9,4,4,3,19,8,9,10,7,7,
47045,Fine Particulate Matter,2022-04-09,4,5,6,9,11,6,3,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,
47045,Fine Particulate Matter,2022-04-10,2,2,2,6,2,1,1,1,2,2,2,2,2,2,2,2,3,3,4,5,8,10,11,5,
47045,Fine Particulate Matter,2022-04-11,6,6,5,4,4,4,4,3,3,4,3,3,3,4,6,7,8,10,11,12,13,26,15,8,
47045,Fine Particulate Matter,2022-04-12,7,7,6,10,9,9,13,9,6,3,3,4,4,4,4,4,6,5,7,9,13,18,14,6,
47045,Fine Particulate Matter,2022-04-13,13,11,8,25,7,15,11,5,4,4,4,4,4,6,7,9,13,10,6,7,8,10,10,12,
47045,Fine Particulate Matter,2022-04-14,15,14,15,16,14,13,13,10,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,
47045,Fine Particulate Matter,2022-04-15,1,1,1,1,1,1,1,1,2,3,2,2,3,15,11,11,5,4,3,4,4,3,3,3,
47045,Fine Particulate Matter,2022-04-16,3,2,2,2,2,2,2,1,1,1,1,1,2,2,2,2,3,3,2,4,3,3,2,1,
47045,Fine Particulate Matter,2022-04-17,2,2,2,1,1,1,2,2,1,1,1,1,2,2,2,3,3,4,5,5,6,7,7,7,
47045,Fine Particulate Matter,2022-04-18,7,5,8,9999,5,4,2,2,2,3,3,3,4,4,3,5,6,6,5,3,3,5,3,4,
47045,Fine Particulate Matter,2022-04-19,3,3,6,7,8,7,6,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,
47045,Fine Particulate Matter,2022-04-20,1,1,1,1,2,2,3,2,2,2,2,2,2,2,2,3,4,5,9,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2022-04-21,9999,9999,9999,8,9999,9999,3,5,6,6,4,2,2,3,3,3,2,2,3,4,4,4,3,3,
47045,Fine Particulate Matter,2022-04-22,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,3,3,4,6,26,12,15,11,
47045,Fine Particulate Matter,2022-04-23,11,19,10,16,8,5,7,7,9,6,4,4,4,3,3,3,3,4,4,4,5,4,3,3,
47045,Fine Particulate Matter,2022-04-24,10,7,6,5,6,9999,4,4,3,7,3,4,5,7,9,9,10,15,24,16,18,14,14,19,
47045,Fine Particulate Matter,2022-04-25,14,13,11,9,16,10,9,13,16,17,9,8,5,5,6,5,4,3,3,7,8,4,5,3,
47045,Fine Particulate Matter,2022-04-26,3,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,1,
47045,Fine Particulate Matter,2022-04-27,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,
47045,Fine Particulate Matter,2022-04-28,3,2,2,2,2,2,2,2,3,3,4,5,5,4,4,4,4,5,6,7,6,5,4,3,
47045,Fine Particulate Matter,2022-04-29,3,3,4,4,6,13,6,3,3,3,3,4,8,4,5,5,4,3,6,5,8,5,6,11,
47045,Fine Particulate Matter,2022-04-30,9999,9999,8,8,7,8,11,5,3,3,2,2,3,3,4,4,4,6,7,8,13,27,21,13,
47045,Fine Particulate Matter,2022-05-01,14,17,8,7,9999,9999,3,3,3,3,3,3,3,3,3,4,7,9,10,29,25,13,15,13,
47045,Fine Particulate Matter,2022-05-02,18,26,22,16,9999,31,23,11,9,9,10,9,8,7,6,5,6,6,5,10,11,8,14,14,
47045,Fine Particulate Matter,2022-05-03,5,23,7,12,8,7,6,8,13,15,18,9999,9999,11,9999,9999,9,9,16,12,6,6,6,6,
47045,Fine Particulate Matter,2022-05-04,5,5,5,7,7,5,3,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,
47045,Fine Particulate Matter,2022-05-05,4,5,3,2,2,4,4,3,3,3,3,3,5,5,5,5,6,6,5,8,12,9999,15,10,
47045,Fine Particulate Matter,2022-05-06,12,9999,14,9999,14,9,4,4,3,3,3,3,3,3,3,3,4,7,5,7,16,14,8,3,
47045,Fine Particulate Matter,2022-05-07,3,3,6,3,3,3,3,2,2,2,2,2,2,3,3,3,4,4,10,7,14,19,29,27,
47045,Fine Particulate Matter,2022-05-08,26,24,22,25,8,8,7,5,6,6,6,5,5,6,6,6,6,6,7,6,9,12,8,9999,
47045,Fine Particulate Matter,2022-05-09,8,9999,7,9999,8,8,6,5,5,5,6,7,7,7,9,8,6,5,6,6,11,11,20,15,
47045,Fine Particulate Matter,2022-05-10,15,7,11,8,7,6,7,8,7,9,9,7,6,6,6,5,5,5,6,9999,9999,8,9999,9999,
47045,Fine Particulate Matter,2022-05-11,9999,12,7,9,8,9999,9999,7,7,7,7,8,9,9,7,6,6,6,7,10,17,9999,9999,9999,
47045,Fine Particulate Matter,2022-05-12,9999,9999,9999,17,15,12,14,15,10,7,7,10,-999,-999,-999,-999,7,7,7,8,12,9999,9999,9999,
47045,Fine Particulate Matter,2022-05-13,9999,9999,9999,9999,9999,13,6,8,6,5,5,6,7,7,8,7,6,6,6,5,6,6,6,7,
47045,Fine Particulate Matter,2022-05-14,7,9999,9999,9999,9999,9999,9999,9,7,6,5,6,6,6,5,4,5,5,4,4,5,6,6,6,
47045,Fine Particulate Matter,2022-05-15,11,14,7,12,9,6,6,6,5,5,5,6,5,6,4,5,5,6,5,10,6,14,12,14,
47045,Fine Particulate Matter,2022-05-16,8,9999,9999,3,5,4,3,3,3,3,3,3,3,3,3,3,4,5,5,5,4,8,9999,6,
47045,Fine Particulate Matter,2022-05-17,9999,7,4,1,1,1,1,1,1,2,1,2,2,2,2,2,3,2,2,3,5,8,17,11,
47045,Fine Particulate Matter,2022-05-18,14,6,10,5,4,5,3,3,3,3,3,4,6,7,12,8,8,7,7,6,7,7,10,11,
47045,Fine Particulate Matter,2022-05-19,8,10,5,8,14,13,9,8,9,8,8,7,7,7,9,12,12,10,17,13,19,13,10,12,
47045,Fine Particulate Matter,2022-05-20,22,24,38,30,23,25,13,9,6,8,9,7,8,9,9,9,8,7,8,9,10,10,11,12,
47045,Fine Particulate Matter,2022-05-21,12,13,10,7,6,5,4,3,5,5,4,4,5,2,4,9999,2,3,3,6,9999,7,7,4,
47045,Fine Particulate Matter,2022-05-22,6,5,5,5,5,5,4,3,3,3,1,2,9,8,9999,7,3,7,4,5,9,21,22,4,
47045,Fine Particulate Matter,2022-05-23,5,9,6,7,4,4,4,1,1,2,1,2,2,2,8,4,5,2,27,12,4,2,2,2,
47045,Fine Particulate Matter,2022-05-24,3,3,6,13,5,8,7,4,4,4,3,3,4,3,4,3,3,2,7,8,5,12,6,5,
47045,Fine Particulate Matter,2022-05-25,6,9999,9999,8,6,9,4,2,3,3,9999,9999,9999,5,9,8,6,6,5,5,7,7,10,12,
47045,Fine Particulate Matter,2022-05-26,10,9,11,8,9,8,9,9,8,7,8,8,8,10,11,11,11,10,9,7,11,13,13,12,
47045,Fine Particulate Matter,2022-05-27,11,9,8,9,5,4,4,3,3,4,3,3,3,2,2,6,10,20,10,5,8,10,17,12,
47045,Fine Particulate Matter,2022-05-28,15,23,5,5,5,15,5,3,3,4,3,3,3,3,4,4,10,4,6,10,8,5,7,10,
47045,Fine Particulate Matter,2022-05-29,6,6,7,6,8,9,7,6,4,2,3,3,3,3,3,4,5,6,5,7,8,7,11,19,
47045,Fine Particulate Matter,2022-05-30,17,16,7,8,9,10,10,8,7,9,10,10,11,9,9,9,9,9,9,11,12,15,12,13,
47045,Fine Particulate Matter,2022-05-31,9999,9999,21,17,16,21,17,29,9999,27,14,14,12,7,9,8,7,7,13,9999,13,9999,8,8,
47045,Fine Particulate Matter,2022-06-01,8,8,8,8,7,8,9,9,9,10,19,15,14,12,10,7,4,6,5,9999,11,9999,7,5,
47045,Fine Particulate Matter,2022-06-02,7,5,10,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,2,2,3,2,2,2,
47045,Fine Particulate Matter,2022-06-03,2,2,2,2,2,4,4,3,2,2,2,2,2,3,4,4,9999,4,3,9999,6,3,3,2,
47045,Fine Particulate Matter,2022-06-04,1,1,0,0,9999,9999,9999,9999,9999,9999,2,1,1,1,1,1,1,1,1,1,2,3,9,5,
47045,Fine Particulate Matter,2022-06-05,5,4,3,3,7,6,7,2,2,2,3,3,3,4,8,3,3,8,4,4,12,8,6,7,
47045,Fine Particulate Matter,2022-06-06,9,12,13,8,6,6,6,6,6,5,5,8,8,7,8,9,10,8,7,7,8,7,18,11,
47045,Fine Particulate Matter,2022-06-07,13,10,9,18,22,11,8,8,10,7,6,5,2,3,3,3,5,3,2,2,2,1,2,1,
47045,Fine Particulate Matter,2022-06-08,2,2,3,3,3,4,3,2,2,3,3,3,3,3,2,3,4,4,3,3,4,3,4,4,
47045,Fine Particulate Matter,2022-06-09,4,4,5,4,4,3,4,4,3,3,2,3,3,3,4,2,4,4,4,3,3,4,4,3,
47045,Fine Particulate Matter,2022-06-10,3,3,2,2,3,4,3,3,4,4,4,4,4,3,3,4,4,4,5,6,9999,9999,9999,9999,
47045,Fine Particulate Matter,2022-06-11,9999,9999,9999,9999,9999,9999,9999,9999,9999,5,4,4,6,3,4,4,5,5,6,6,8,8,10,7,
47045,Fine Particulate Matter,2022-06-12,14,10,12,17,15,16,16,13,8,9,10,8,6,6,6,7,5,4,5,5,6,9,6,6,
47045,Fine Particulate Matter,2022-06-13,6,4,4,4,4,3,2,1,2,2,3,2,2,2,2,2,2,3,3,2,3,9999,9999,9999,
47045,Fine Particulate Matter,2022-06-14,9999,9999,4,4,5,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,9999,9999,9999,9999,
47045,Fine Particulate Matter,2022-06-15,9999,4,3,4,5,5,4,4,5,5,5,6,6,7,9,7,6,7,7,9,12,10,11,9999,
47045,Fine Particulate Matter,2022-06-16,9999,9999,7,9,10,12,18,20,34,30,28,23,21,17,11,8,7,8,7,6,4,3,3,3,
47045,Fine Particulate Matter,2022-06-17,2,1,2,1,1,2,2,2,2,2,3,4,3,3,3,3,3,2,2,1,1,1,1,0,
47045,Fine Particulate Matter,2022-06-18,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,5,
47045,Fine Particulate Matter,2022-06-19,6,5,4,3,4,3,2,1,2,2,2,9999,9999,9999,9999,2,3,5,5,9999,9999,9999,9999,9999,
47045,Fine Particulate Matter,2022-06-20,3,5,4,4,5,6,8,7,6,4,4,5,6,7,6,5,5,5,7,7,9,10,10,9,
47045,Fine Particulate Matter,2022-06-21,10,11,33,14,11,12,14,10,9,21,11,11,14,14,13,12,13,11,12,34,22,14,11,31,
47045,Fine Particulate Matter,2022-06-22,14,17,17,14,16,14,14,13,13,13,14,16,11,6,5,4,4,4,2,2,2,1,1,1,
47045,Fine Particulate Matter,2022-06-23,1,1,1,1,1,1,1,1,2,2,2,3,4,3,3,4,4,4,3,3,19,5,3,2,
47045,Fine Particulate Matter,2022-06-24,3,8,3,4,5,9999,9999,9999,3,3,3,3,3,3,4,3,4,5,5,9999,9999,9999,8,11,
47045,Fine Particulate Matter,2022-06-25,15,11,11,12,13,11,10,11,11,11,12,7,9,8,9,10,10,11,11,9,11,9999,9999,9999,
